"focalID","avg_count","site","foraging_type"
"1899-12-31 01:52:00MCD001",24.2,"MCD","provisioned"
"1899-12-31 01:52:00MCD002",7.33333333333333,"MCD","provisioned"
"1899-12-31 01:52:00MCD003",11.8,"MCD","provisioned"
"1899-12-31 01:52:00MCD004",26.6,"MCD","provisioned"
"1899-12-31 01:52:00MCD005",11.6,"MCD","provisioned"
"1899-12-31 01:52:00MCD006",24.4,"MCD","provisioned"
"1899-12-31 01:52:00MCD007",8.6,"MCD","provisioned"
"1899-12-31 05:27:00ICP001",14.25,"ICP","provisioned"
"1899-12-31 05:27:00ICP002",13.5,"ICP","provisioned"
"1899-12-31 05:27:00ICP003",9.2,"ICP","provisioned"
"1899-12-31 05:27:00ICP004",3.8,"ICP","provisioned"
"1899-12-31 05:27:00ICP005",4,"ICP","provisioned"
"1899-12-31 05:27:00ICP007",11,"ICP","provisioned"
"1899-12-31 05:27:00ICP008",3.5,"ICP","provisioned"
"1899-12-31 05:27:00ICP009",19.3333333333333,"ICP","provisioned"
"1899-12-31 06:38:00GP001",3.33333333333333,"GP","provisioned"
"1899-12-31 06:38:00GP002",7,"GP","provisioned"
"1899-12-31 06:38:00GP003",9,"GP","provisioned"
"1899-12-31 06:38:00GP004",7.4,"GP","provisioned"
"1899-12-31 06:38:00GP005",8.4,"GP","provisioned"
"1899-12-31 06:38:00GP006",8.5,"GP","provisioned"
"1899-12-31 06:38:00GP007",8,"GP","provisioned"
"1899-12-31 08:26:00ICP001",10.25,"ICP","provisioned"
"1899-12-31 08:26:00ICP002",6.66666666666667,"ICP","provisioned"
"1899-12-31 08:26:00ICP004",10.5,"ICP","provisioned"
"1899-12-31 08:26:00ICP005",15,"ICP","provisioned"
"1899-12-31 08:26:00ICP006",7.5,"ICP","provisioned"
"1899-12-31 08:26:00ICP007",15.5,"ICP","provisioned"
"1899-12-31 08:26:00ICP008",16.5,"ICP","provisioned"
"1899-12-31 08:47:00DP001",2.6,"DP","provisioned"
"1899-12-31 08:47:00DP002",2,"DP","provisioned"
"1899-12-31 08:47:00DP003",3.66666666666667,"DP","provisioned"
"1899-12-31 08:47:00DP004",4.5,"DP","provisioned"
"1899-12-31 08:47:00DP005",3.5,"DP","provisioned"
"1899-12-31 08:47:00DP006",3,"DP","provisioned"
"1899-12-31 08:47:00DP007",3,"DP","provisioned"
"1899-12-31 09:12:00ICP001",7.75,"ICP","provisioned"
"1899-12-31 09:12:00ICP002",11.4,"ICP","provisioned"
"1899-12-31 09:12:00ICP003",11.2,"ICP","provisioned"
"1899-12-31 09:12:00ICP004",9.25,"ICP","provisioned"
"1899-12-31 09:12:00ICP005",11,"ICP","provisioned"
"1899-12-31 09:12:00ICP006",11.75,"ICP","provisioned"
"1899-12-31 09:12:00ICP007",15.4,"ICP","provisioned"
"1899-12-31 12:04:00ICP001",6.6,"ICP","provisioned"
"1899-12-31 12:04:00ICP002",7.66666666666667,"ICP","provisioned"
"1899-12-31 12:04:00ICP003",7.6,"ICP","provisioned"
"1899-12-31 12:04:00ICP004",8,"ICP","provisioned"
"1899-12-31 12:04:00ICP005",9,"ICP","provisioned"
"1899-12-31 12:04:00ICP006",5.75,"ICP","provisioned"
"1899-12-31 12:04:00ICP007",10,"ICP","provisioned"
"1899-12-31 13:16:00MCD001",1,"MCD","provisioned"
"1899-12-31 13:16:00MCD002",7.4,"MCD","provisioned"
"1899-12-31 13:16:00MCD003",8.75,"MCD","provisioned"
"1899-12-31 13:16:00MCD004",3.75,"MCD","provisioned"
"1899-12-31 13:16:00MCD005",7.75,"MCD","provisioned"
"1899-12-31 13:16:00MCD006",7.6,"MCD","provisioned"
"1899-12-31 13:16:00MCD007",6.66666666666667,"MCD","provisioned"
"1899-12-31 13:43:00ICP001",10.75,"ICP","provisioned"
"1899-12-31 13:43:00ICP002",11.75,"ICP","provisioned"
"1899-12-31 13:43:00ICP003",14,"ICP","provisioned"
"1899-12-31 13:43:00ICP004",5,"ICP","provisioned"
"1899-12-31 13:43:00ICP005",15.4,"ICP","provisioned"
"1899-12-31 13:43:00ICP006",4,"ICP","provisioned"
"1899-12-31 13:43:00ICP007",9,"ICP","provisioned"
"1899-12-31 13:55:00DP001",1.8,"DP","provisioned"
"1899-12-31 13:55:00DP002",4,"DP","provisioned"
"1899-12-31 13:55:00DP003",3.4,"DP","provisioned"
"1899-12-31 13:55:00DP004",3.25,"DP","provisioned"
"1899-12-31 13:55:00DP005",4,"DP","provisioned"
"1899-12-31 13:55:00DP006",2.33333333333333,"DP","provisioned"
"1899-12-31 13:55:00DP007",2,"DP","provisioned"
"1899-12-31 14:01:00GP002",4.25,"GP","provisioned"
"1899-12-31 14:01:00GP003",1.5,"GP","provisioned"
"1899-12-31 14:01:00GP004",3,"GP","provisioned"
"1899-12-31 14:01:00GP005",4.33333333333333,"GP","provisioned"
"1899-12-31 14:01:00GP006",2,"GP","provisioned"
"1899-12-31 14:01:00GP007",3.66666666666667,"GP","provisioned"
"1899-12-31 14:16:00DP001",8.25,"DP","provisioned"
"1899-12-31 14:16:00DP002",6.8,"DP","provisioned"
"1899-12-31 14:16:00DP003",4.5,"DP","provisioned"
"1899-12-31 14:16:00DP004",6.6,"DP","provisioned"
"1899-12-31 14:16:00DP005",5,"DP","provisioned"
"1899-12-31 14:16:00DP006",6,"DP","provisioned"
"1899-12-31 14:16:00DP007",6.75,"DP","provisioned"
"1899-12-31 14:20:00MCD001",15.25,"MCD","provisioned"
"1899-12-31 14:20:00MCD002",13.3333333333333,"MCD","provisioned"
"1899-12-31 14:20:00MCD004",14.3333333333333,"MCD","provisioned"
"1899-12-31 14:20:00MCD005",16,"MCD","provisioned"
"1899-12-31 14:20:00MCD007",19.5,"MCD","provisioned"
"1899-12-31 15:04:00GP001",3,"GP","provisioned"
"1899-12-31 15:04:00GP002",2.5,"GP","provisioned"
"1899-12-31 15:04:00GP003",3.25,"GP","provisioned"
"1899-12-31 15:04:00GP004",4.5,"GP","provisioned"
"1899-12-31 15:04:00GP005",2.75,"GP","provisioned"
"1899-12-31 15:04:00GP006",3,"GP","provisioned"
"1899-12-31 15:04:00GP007",2.6,"GP","provisioned"
"1899-12-31 15:40:00MCD001",7.25,"MCD","provisioned"
"1899-12-31 15:40:00MCD002",9.4,"MCD","provisioned"
"1899-12-31 15:40:00MCD003",7.5,"MCD","provisioned"
"1899-12-31 15:40:00MCD004",7.75,"MCD","provisioned"
"1899-12-31 15:40:00MCD005",10,"MCD","provisioned"
"1899-12-31 15:40:00MCD006",7.25,"MCD","provisioned"
"1899-12-31 15:40:00MCD007",10.2,"MCD","provisioned"
"1899-12-31 15:43:00GP001",3.6,"GP","provisioned"
"1899-12-31 15:43:00GP002",3,"GP","provisioned"
"1899-12-31 15:43:00GP003",1,"GP","provisioned"
"1899-12-31 15:43:00GP004",4.33333333333333,"GP","provisioned"
"1899-12-31 15:43:00GP005",2.66666666666667,"GP","provisioned"
"1899-12-31 15:43:00GP006",1.5,"GP","provisioned"
"1899-12-31 15:43:00GP007",2,"GP","provisioned"
"1899-12-31 17:41:00DP001",4.25,"DP","provisioned"
"1899-12-31 17:41:00DP002",5.33333333333333,"DP","provisioned"
"1899-12-31 17:41:00DP003",3.5,"DP","provisioned"
"1899-12-31 17:41:00DP004",5.6,"DP","provisioned"
"1899-12-31 17:41:00DP005",7,"DP","provisioned"
"1899-12-31 17:41:00DP006",3.25,"DP","provisioned"
"1899-12-31 17:41:00DP007",3.75,"DP","provisioned"
"DP01",1.5,"DP","not provisioned"
"DP02",3,"DP","not provisioned"
"DP03",1,"DP","not provisioned"
"DP04",1.5,"DP","not provisioned"
"DP05",2,"DP","not provisioned"
"DP06",0,"DP","not provisioned"
"DP07",2,"DP","not provisioned"
"DP08",0.5,"DP","not provisioned"
"DP09",0.5,"DP","not provisioned"
"DP10",2.33333333333333,"DP","not provisioned"
"DP11",3,"DP","not provisioned"
"DP12",2,"DP","not provisioned"
"DP13",4.5,"DP","not provisioned"
"DP14",1.5,"DP","not provisioned"
"DP15",0.5,"DP","not provisioned"
"DP16",0,"DP","not provisioned"
"DP17",0.75,"DP","not provisioned"
"DP18",0.5,"DP","not provisioned"
"DP19",2,"DP","not provisioned"
"DP20",4,"DP","not provisioned"
"DP21",0.5,"DP","not provisioned"
"DP22",4,"DP","not provisioned"
"DP23",0,"DP","not provisioned"
"DP24",2,"DP","not provisioned"
"DP25",1.5,"DP","not provisioned"
"DP26",0,"DP","not provisioned"
"DP27",0,"DP","not provisioned"
"DP28",0,"DP","not provisioned"
"DP29",2,"DP","not provisioned"
"DP30",2.5,"DP","not provisioned"
"DP31",0,"DP","not provisioned"
"GP1",2.5,"GP","not provisioned"
"GP10",0,"GP","not provisioned"
"GP11",1.5,"GP","not provisioned"
"GP13",0,"GP","not provisioned"
"GP14",4.5,"GP","not provisioned"
"GP15",3,"GP","not provisioned"
"GP16",1,"GP","not provisioned"
"GP17",4.5,"GP","not provisioned"
"GP18",2,"GP","not provisioned"
"GP19",3,"GP","not provisioned"
"GP2",3,"GP","not provisioned"
"GP20",1,"GP","not provisioned"
"GP21",3.5,"GP","not provisioned"
"GP22",2.5,"GP","not provisioned"
"GP23",0,"GP","not provisioned"
"GP24",2,"GP","not provisioned"
"GP25",0,"GP","not provisioned"
"GP26",1.5,"GP","not provisioned"
"GP27",1.5,"GP","not provisioned"
"GP28",0,"GP","not provisioned"
"GP29",1,"GP","not provisioned"
"GP3",0,"GP","not provisioned"
"GP31",0,"GP","not provisioned"
"GP33",1,"GP","not provisioned"
"GP35",1.5,"GP","not provisioned"
"GP37",1.5,"GP","not provisioned"
"GP39",3,"GP","not provisioned"
"GP4",1,"GP","not provisioned"
"GP5",1,"GP","not provisioned"
"GP6",0.5,"GP","not provisioned"
"GP7",3,"GP","not provisioned"
"GP8",3,"GP","not provisioned"
"GP9",2.5,"GP","not provisioned"
"ICP11",4,"ICP","not provisioned"
"ICP12",6.5,"ICP","not provisioned"
"ICP13",7,"ICP","not provisioned"
"ICP14",4,"ICP","not provisioned"
"ICP15",2.5,"ICP","not provisioned"
"ICP16",5,"ICP","not provisioned"
"ICP17",3.5,"ICP","not provisioned"
"ICP18",1,"ICP","not provisioned"
"ICP19",13.5,"ICP","not provisioned"
"ICP21",6,"ICP","not provisioned"
"ICP22",1,"ICP","not provisioned"
"ICP23",1.5,"ICP","not provisioned"
"ICP24",1,"ICP","not provisioned"
"ICP25",3.5,"ICP","not provisioned"
"ICP26",0,"ICP","not provisioned"
"ICP27",0,"ICP","not provisioned"
"ICP28",1,"ICP","not provisioned"
"ICP29",1.5,"ICP","not provisioned"
"ICP30",0.5,"ICP","not provisioned"
"ICP31",1,"ICP","not provisioned"
"ICP32",0,"ICP","not provisioned"
"ICP33",1.5,"ICP","not provisioned"
"ICP34",1,"ICP","not provisioned"
"ICP35",0,"ICP","not provisioned"
"ICP36",3,"ICP","not provisioned"
"ICP37",1.5,"ICP","not provisioned"
"ICP38",1,"ICP","not provisioned"
"ICP39",0,"ICP","not provisioned"
"ICP41",6.5,"ICP","not provisioned"
"ICP43",4,"ICP","not provisioned"
"ICP45",5,"ICP","not provisioned"
"JB01",3.5,"JB","not provisioned"
"JB02",1.5,"JB","not provisioned"
"JB021",0,"JB","not provisioned"
"JB023",1.5,"JB","not provisioned"
"JB025",1,"JB","not provisioned"
"JB03",2,"JB","not provisioned"
"JB04",1.5,"JB","not provisioned"
"JB10",0.5,"JB","not provisioned"
"JB11",1,"JB","not provisioned"
"JB12",2.5,"JB","not provisioned"
"JB13",1,"JB","not provisioned"
"JB14",0.5,"JB","not provisioned"
"JB15",0.5,"JB","not provisioned"
"JB16",1,"JB","not provisioned"
"JB17",3,"JB","not provisioned"
"JB18",1,"JB","not provisioned"
"JB19",2,"JB","not provisioned"
"JB20",0,"JB","not provisioned"
"JB22",0,"JB","not provisioned"
"JB24",3,"JB","not provisioned"
"JB26",2,"JB","not provisioned"
"JB27",1.5,"JB","not provisioned"
"JB28",3.5,"JB","not provisioned"
"JB29",1.5,"JB","not provisioned"
"JB31",1,"JB","not provisioned"
"JB33",2,"JB","not provisioned"
"JB35",3.5,"JB","not provisioned"
"JB37",1,"JB","not provisioned"
"JB5",1.5,"JB","not provisioned"
"JB6",0,"JB","not provisioned"
"JB7",2.5,"JB","not provisioned"
"JB8",0,"JB","not provisioned"
"JB9",2.5,"JB","not provisioned"
"MCD01",7.5,"MCD","not provisioned"
"MCD02",4,"MCD","not provisioned"
"MCD03",4.5,"MCD","not provisioned"
"MCD04",9.5,"MCD","not provisioned"
"MCD05",5.5,"MCD","not provisioned"
"MCD10",11,"MCD","not provisioned"
"MCD11",7,"MCD","not provisioned"
"MCD13",1.5,"MCD","not provisioned"
"MCD15",11.5,"MCD","not provisioned"
"MCD16",0,"MCD","not provisioned"
"MCD17",1.5,"MCD","not provisioned"
"MCD18",3,"MCD","not provisioned"
"MCD19",4.5,"MCD","not provisioned"
"MCD20",3,"MCD","not provisioned"
"MCD21",0,"MCD","not provisioned"
"MCD22",1,"MCD","not provisioned"
"MCD23",1.5,"MCD","not provisioned"
"MCD24",7,"MCD","not provisioned"
"MCD25",3,"MCD","not provisioned"
"MCD26",7.5,"MCD","not provisioned"
"MCD27",4,"MCD","not provisioned"
"MCD28",0.5,"MCD","not provisioned"
"MCD29",2.5,"MCD","not provisioned"
"MCD30",6.5,"MCD","not provisioned"
"MCD31",2.5,"MCD","not provisioned"
"MCD32",3,"MCD","not provisioned"
"MCD33",17,"MCD","not provisioned"
"MCD34",4.5,"MCD","not provisioned"
"MCD35",1,"MCD","not provisioned"
"MCD36",0,"MCD","not provisioned"
"MCD37",9,"MCD","not provisioned"
"MCD38",1.5,"MCD","not provisioned"
"MCD6",8,"MCD","not provisioned"
"MCD7",6,"MCD","not provisioned"
"MCD8",3.5,"MCD","not provisioned"
"MCD9",5,"MCD","not provisioned"
